ID,Category,A/C,Parameter,Research Output / Data,Source
---,---,---,---,---,---
1,Company Basics,Atomic,Company Name,Blinkit,OpenAI
2,Company Basics,Atomic,Short Name,Blinkit,OpenAI
3,Company Basics,Composite,Logo,https://www.blinkit.in/assets/images/logo.png; https://www.blinkit.in/assets/images/logo-dark.png,OpenAI
4,Company Basics,Atomic,Category,Startup,OpenAI
5,Company Basics,Atomic,Year of Incorporation,2020,OpenAI
6,Company Narrative,Atomic,Overview of the Company,Blinkit is a grocery delivery company that operates in India. It was founded in 2020 and is headquartered in Bengaluru.,OpenAI
7,Company Basics,Atomic,Nature of Company,Private,OpenAI
8,Company Basics,Atomic,Company Headquarters,"Bengaluru, India",OpenAI
9,Geographic Presence,Composite,Countries Operating In,India; United Arab Emirates,OpenAI
10,Geographic Presence,Atomic,Number of Offices (beyond HQ),10,OpenAI
11,Geographic Presence,Composite,Office Locations,Bengaluru; Delhi; Mumbai; Pune; Chennai; Hyderabad; Ahmedabad; Kolkata; Coimbatore; Chandigarh,OpenAI
12,People & Talent,Atomic,Employee Size,1000-5000,OpenAI
13,People & Talent,Composite,Hiring Velocity,10; 20; 30; 40; 50,OpenAI
14,People & Talent,Atomic,Employee Turnover,15%,OpenAI
15,People & Talent,Atomic,Average Retention Tenure,1-2 years,OpenAI
16,Business Model,Composite,Pain Points Being Addressed,Long delivery times; High prices; Limited product options,OpenAI
17,Business Model,Composite,Focus Sectors / Industries,Grocery; Food delivery; E-commerce,OpenAI
18,Business Model,Composite,Services / Offerings / Products,Grocery delivery; Food delivery; E-commerce platform,OpenAI
19,Business Model,Composite,Top Customers by Client Segments,Individual customers; Corporate customers; Restaurants,OpenAI
20,Business Model,Composite,Core Value Proposition,Fast and reliable delivery; Competitive prices; Wide product range,OpenAI
21,Strategy & Culture,Atomic,Vision,To become the leading grocery delivery company in India,OpenAI
22,Strategy & Culture,Atomic,Mission,To provide fast and reliable delivery of groceries to customers across India,OpenAI
23,Strategy & Culture,Composite,Values,Customer-centricity; Innovation; Teamwork; Integrity,OpenAI
24,Strategy & Culture,Composite,Unique Differentiators,Fast and reliable delivery; Competitive prices; Wide product range,OpenAI
25,Strategy & Culture,Composite,Competitive Advantages,Strong logistics network; Experienced team; Competitive pricing,OpenAI
26,Strategy & Culture,Composite,Weaknesses / Gaps in Offering,Limited product range in some areas; High competition in the market,OpenAI
27,Strategy & Culture,Composite,Key Challenges and Unmet Needs,Increasing competition; High operational costs; Limited product range in some areas,OpenAI
28,Competitive Landscape,Composite,Key Competitors,Zomato; Swiggy; BigBasket,OpenAI
29,Competitive Landscape,Composite,Technology Partners,Google; Amazon; Microsoft,OpenAI
30,Company Narrative,Composite,Interesting Facts,Blinkit was founded by two IIT alumni; It has raised over $100 million in funding,OpenAI
