ID | Category | Parameter | A/C
---|---|---|---
1 | Company Basics | Company Name | Atomic
2 | Company Basics | Short Name | Atomic
3 | Company Basics | Logo | Composite
4 | Company Basics | Category | Atomic
5 | Company Basics | Year of Incorporation | Atomic
6 | Company Narrative | Overview of the Company | Atomic
7 | Company Basics | Nature of Company | Atomic
8 | Company Basics | Company Headquarters | Atomic
9 | Geographic Presence | Countries Operating In | Composite
10 | Geographic Presence | Number of Offices (beyond HQ) | Atomic
11 | Geographic Presence | Office Locations | Composite
12 | People & Talent | Employee Size | Atomic
13 | People & Talent | Hiring Velocity | Composite
14 | People & Talent | Employee Turnover | Atomic
15 | People & Talent | Average Retention Tenure | Atomic
16 | Business Model | Pain Points Being Addressed | Composite
17 | Business Model | Focus Sectors / Industries | Composite
18 | Business Model | Services / Offerings / Products | Composite
19 | Business Model | Top Customers by Client Segments | Composite
20 | Business Model | Core Value Proposition | Composite
21 | Strategy & Culture | Vision | Atomic
22 | Strategy & Culture | Mission | Atomic
23 | Strategy & Culture | Values | Composite
24 | Strategy & Culture | Unique Differentiators | Composite
25 | Strategy & Culture | Competitive Advantages | Composite
26 | Strategy & Culture | Weaknesses / Gaps in Offering | Composite
27 | Strategy & Culture | Key Challenges and Unmet Needs | Composite
28 | Competitive Landscape | Key Competitors | Composite
29 | Competitive Landscape | Technology Partners | Composite
30 | Company Narrative | Interesting Facts | Composite
31 | Company Narrative | Recent News | Composite
32 | Digital Presence | Website URL | Atomic
33 | Digital Presence | Quality of Website | Atomic
34 | Digital Presence | Website Rating | Atomic
35 | Digital Presence | Website Traffic Rank | Composite
36 | Digital Presence | Social Media Followers – Combined | Atomic
37 | Digital Presence | Glassdoor Rating | Atomic
38 | Digital Presence | Indeed Rating | Atomic
39 | Digital Presence | Google Reviews Rating | Atomic
40 | Digital Presence | LinkedIn Profile URL | Atomic
41 | Digital Presence | Twitter (X) Handle | Atomic
42 | Digital Presence | Facebook Page URL | Atomic
43 | Digital Presence | Instagram Page URL | Atomic
44 | Leadership | CEO Name | Atomic
45 | Leadership | CEO LinkedIn URL | Atomic
46 | Leadership | Key Business Leaders | Composite
47 | Leadership | Warm Introduction Pathways | Composite
48 | Leadership | Decision Maker Accessibility | Atomic
49 | Contact Info | Company Contact Email | Atomic
